# Idx, longitude, latitude, start timestamp, duration, start frame, end frame
0,2.735420671262533965e-03,5.145918779471063687e-01,0.000000000000000000e+00,2.000000000000000000e+02,1,5
1,2.844492027825662461e-03,5.170042358234423485e-01,2.000079629999818280e+02,2.000000000000000000e+02,6,11
2,2.999098757738571930e-03,5.333276622640569231e-01,4.119996400000527501e+02,2.000000000000000000e+02,11,16
3,9.972525077405488547e-01,6.012292569144479515e-01,6.120158710000105202e+02,2.000000000000000000e+02,16,20
4,9.903658525025205162e-01,6.560358917317858918e-01,8.040198660000460222e+02,2.000000000000000000e+02,21,25
5,9.867055308334062858e-01,6.886144436483010445e-01,1.004004450000007637e+03,2.000000000000000000e+02,26,30
6,9.863180474422906796e-01,6.923879804143290295e-01,1.204017259999993257e+03,2.000000000000000000e+02,31,35
7,9.843506806350182936e-01,6.887836858145908181e-01,1.404018664999981411e+03,2.000000000000000000e+02,36,40
8,9.791200399197462767e-01,6.865230146031322533e-01,1.608028612000052817e+03,2.000000000000000000e+02,41,46
9,9.707645013660900490e-01,6.901689433813982255e-01,1.807955605000024661e+03,2.000000000000000000e+02,46,51
10,9.656810176540202573e-01,6.960668035599198999e-01,2.007944751000031829e+03,2.000000000000000000e+02,51,56
11,9.628350379016481497e-01,7.006077723749382091e-01,2.211959544999990612e+03,2.000000000000000000e+02,56,60
12,9.607490263553484233e-01,6.979991788748143300e-01,2.400040244000032544e+03,2.000000000000000000e+02,61,65
13,9.567618143847873569e-01,6.970322390196193041e-01,2.600007438000058755e+03,2.000000000000000000e+02,66,70
14,9.345294638962755585e-01,7.015838831334234582e-01,2.803951811000006273e+03,2.000000000000000000e+02,71,75
15,9.047594353123128430e-01,7.143663053613409364e-01,3.003966331000090577e+03,2.000000000000000000e+02,76,80
16,8.861775102632268863e-01,7.226542042307266822e-01,3.204159895000047982e+03,2.000000000000000000e+02,81,85
17,8.787346812168902455e-01,7.200733348806270806e-01,3.404007916000089608e+03,2.000000000000000000e+02,86,90
18,8.689978211137961983e-01,7.205487285316616308e-01,3.607997904999996535e+03,2.000000000000000000e+02,91,96
19,8.562721538252495712e-01,7.214707660498407282e-01,3.807975932000088505e+03,2.000000000000000000e+02,96,101
20,8.469979930705855420e-01,7.155939334674684682e-01,4.008036353999981657e+03,2.000000000000000000e+02,101,106
21,8.399973505696580744e-01,7.119153821949508743e-01,4.208009248999995179e+03,2.000000000000000000e+02,106,111
22,8.375528734295972777e-01,7.088471561417302169e-01,4.408000105999992229e+03,2.000000000000000000e+02,111,115
23,8.377490270192669009e-01,7.057705555968848410e-01,4.600023488000035286e+03,2.000000000000000000e+02,116,120
24,8.386866933211905017e-01,7.021924500994847218e-01,4.800010923000052571e+03,2.000000000000000000e+02,121,125
25,8.392761569722265724e-01,6.910693205241738024e-01,5.003997207000036724e+03,2.000000000000000000e+02,126,130
26,8.377067950507044447e-01,6.439346697249980211e-01,5.203996331000002101e+03,2.000000000000000000e+02,131,135
27,8.348477903514175402e-01,6.160485095298823266e-01,5.404016553000081331e+03,2.000000000000000000e+02,136,140
28,8.287201905314260930e-01,6.122908415157937156e-01,5.608003692000056617e+03,2.000000000000000000e+02,141,145
29,7.898984878849478752e-01,5.832704863620019609e-01,5.808012510000029579e+03,2.000000000000000000e+02,146,151
30,7.297158102158136650e-01,5.568101885170579912e-01,6.007970010000048205e+03,2.000000000000000000e+02,151,155
31,6.947184636421083193e-01,5.875779022197753498e-01,6.200004511000006460e+03,2.000000000000000000e+02,156,161
32,6.704016330803072021e-01,6.266251984837327704e-01,6.412053208000026643e+03,2.000000000000000000e+02,161,166
33,6.578495968754337619e-01,6.471921739090633618e-01,6.607970805000048131e+03,2.000000000000000000e+02,166,171
34,6.473616696697225281e-01,6.602452610039808434e-01,6.811985313000041060e+03,2.000000000000000000e+02,171,175
35,6.377936904979790711e-01,6.670218667400833468e-01,7.000016690000076778e+03,2.000000000000000000e+02,176,180
36,6.331546851720633029e-01,6.729539496307109792e-01,7.203977884000050835e+03,2.000000000000000000e+02,181,185
37,6.317885423390687816e-01,6.784371114402609759e-01,7.404007800000021234e+03,2.000000000000000000e+02,186,190
38,6.294048045365623345e-01,6.933003124178176435e-01,7.604016333000035957e+03,2.000000000000000000e+02,191,195
39,6.222957602599827887e-01,7.094872867406465389e-01,7.803999207000015303e+03,2.000000000000000000e+02,196,201
40,6.201911251885272591e-01,7.147145215543702079e-01,8.007966388000058942e+03,2.000000000000000000e+02,201,206
41,6.160327960391263069e-01,7.264691414163720884e-01,8.207983759000082500e+03,2.000000000000000000e+02,206,210
42,6.093821714723981486e-01,7.446020966614683712e-01,8.400023107000044547e+03,2.000000000000000000e+02,211,216
43,6.024164958407287607e-01,7.611186880301812341e-01,8.612035880999988876e+03,2.000000000000000000e+02,216,221
44,5.956897621859416070e-01,7.695682835950922174e-01,8.811947194000007585e+03,2.000000000000000000e+02,221,226
45,5.929755106775932427e-01,7.709562258547846270e-01,9.011978535000002012e+03,2.000000000000000000e+02,226,230
46,5.912676328616044419e-01,7.748856848260079477e-01,9.203931781999999657e+03,2.000000000000000000e+02,231,235
47,5.858136840393020073e-01,7.800897679614986480e-01,9.403946017000009306e+03,2.000000000000000000e+02,236,240
